,count(85)
医者談義　五冊 　　　　　　富士川本　イ　395,1
のまぎら人参を一両代金十両とかき付てやる手■【に,1
まぎら人参を一両代金十両とかき付てやる手■【にヵ,1
ぎら人参を一両代金十両とかき付てやる手■【にヵ】,1
【牙人＝がじん、牙儈＝すあい、どちらも売買の仲買,1
牙人＝がじん、牙儈＝すあい、どちらも売買の仲買人,1
人＝がじん、牙儈＝すあい、どちらも売買の仲買人の,1
＝がじん、牙儈＝すあい、どちらも売買の仲買人のこ,1
がじん、牙儈＝すあい、どちらも売買の仲買人のこと,1
じん、牙儈＝すあい、どちらも売買の仲買人のこと】,1
【耆婆＝古代インドの名医、扁鵲＝古代中国の名医】,1
のきびしさいらひどさもはやこらへがたく候これ見さ,1
ござれども何ともならぬあん■■【ばくヵ】者けれと,1
ざれども何ともならぬあん■■【ばくヵ】者けれとも,1
れりかるがゆへに新流を当流といひ古流を他流と云ふ,1
水目百二十目京升に三合入なり天目といふは茶わんの,1
手代共候とて出しければひたもの【注】ひねくり廻し,1
【虫損部は山口大学図書館所蔵本を参照　https,1
虫損部は山口大学図書館所蔵本を参照　https:,1
損部は山口大学図書館所蔵本を参照　https:/,1
部は山口大学図書館所蔵本を参照　https://,1
は山口大学図書館所蔵本を参照　https://k,1
山口大学図書館所蔵本を参照　https://ko,1
口大学図書館所蔵本を参照　https://kot,1
大学図書館所蔵本を参照　https://kote,1
学図書館所蔵本を参照　https://koten,1
図書館所蔵本を参照　https://kotens,1
書館所蔵本を参照　https://kotense,1
館所蔵本を参照　https://kotensek,1
所蔵本を参照　https://kotenseki,1
蔵本を参照　https://kotenseki.,1
本を参照　https://kotenseki.n,1
を参照　https://kotenseki.ni,1
参照　https://kotenseki.nij,1
照　https://kotenseki.nijl,1
　https://kotenseki.nijl.,1
https://kotenseki.nijl.a,1
ttps://kotenseki.nijl.ac,1
tps://kotenseki.nijl.ac.,1
ps://kotenseki.nijl.ac.j,1
s://kotenseki.nijl.ac.jp,1
://kotenseki.nijl.ac.jp/,1
//kotenseki.nijl.ac.jp/b,1
/kotenseki.nijl.ac.jp/bi,1
kotenseki.nijl.ac.jp/bib,1
otenseki.nijl.ac.jp/bibl,1
tenseki.nijl.ac.jp/bibli,1
enseki.nijl.ac.jp/biblio,1
nseki.nijl.ac.jp/biblio/,1
seki.nijl.ac.jp/biblio/1,1
eki.nijl.ac.jp/biblio/10,1
ki.nijl.ac.jp/biblio/100,1
i.nijl.ac.jp/biblio/1002,1
.nijl.ac.jp/biblio/10026,1
nijl.ac.jp/biblio/100269,1
ijl.ac.jp/biblio/1002698,1
jl.ac.jp/biblio/10026985,1
l.ac.jp/biblio/100269851,1
.ac.jp/biblio/100269851/,1
ac.jp/biblio/100269851/v,1
c.jp/biblio/100269851/vi,1
.jp/biblio/100269851/vie,1
jp/biblio/100269851/view,1
p/biblio/100269851/viewe,1
/biblio/100269851/viewer,1
biblio/100269851/viewer/,1
iblio/100269851/viewer/4,1
blio/100269851/viewer/46,1
lio/100269851/viewer/46】,1
或は学文ありといへども心ざなあしき医は人前にては,1
りならず疱瘡するといへりこゝにおいてかんがふるに,1
いへども更に狐狸はこんともすんともいかねどもまど,1
のうたがひあるとき其うたがひを決する【左追記?】,1
うたがひあるとき其うたがひを決する【左追記?】・,1
たがひあるとき其うたがひを決する【左追記?】・は,1
がひあるとき其うたがひを決する【左追記?】・は易,1
ひあるとき其うたがひを決する【左追記?】・は易の,1
あるとき其うたがひを決する【左追記?】・は易の【,1
るとき其うたがひを決する【左追記?】・は易の【戻,1
とき其うたがひを決する【左追記?】・は易の【戻る,1
き其うたがひを決する【左追記?】・は易の【戻る】,1
けるをたにおみにおもふて行けるに女のはかなきは其,1
るをたにおみにおもふて行けるに女のはかなきは其村,1
ごとしあとかたもなきことがいひふれてくこゝの山の,1
を付て夜にいたらば又かゆかるべしかならずかゝしむ,1
